#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 1984-10-31 to 2025-11-25
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 672: Olallie Meadows, WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Observed    Value       None           Instantaneous - Start of Day  N/A        Degrees fahrenheit  N/A           TOBS          Instantaneously observed air temperature                                                           
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Olallie Meadows (672) 
# Washington  SNOTEL Site - 4010 ft
# Reporting Frequency: Daily; Date Range: 1984-10-31 to 2025-11-25
#
# As of: Nov 25, 2025, 2:29:34 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Snow Depth (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Observed (degF) Start of Day Values
1984-10-31,5.0,,12.3,
1984-11-01,5.0,,12.3,
1984-11-02,6.4,,13.9,
1984-11-03,9.2,,16.8,
1984-11-04,12.6,,20.5,
1984-11-05,13.0,,20.8,
1984-11-06,13.0,,20.8,
1984-11-07,13.6,,21.5,29.7
1984-11-08,13.9,,22.0,29.5
1984-11-09,14.7,,22.8,
1984-11-10,15.3,,23.6,
1984-11-11,15.9,,24.3,
1984-11-12,16.3,,24.8,
1984-11-13,16.5,,25.0,33.6
1984-11-14,16.6,,25.5,24.8
1984-11-15,16.6,,25.5,
1984-11-16,16.6,,25.5,
1984-11-17,16.6,,25.5,
1984-11-18,16.8,,25.7,
1984-11-19,16.8,,25.7,
1984-11-20,17.6,,26.4,
1984-11-21,18.0,,26.8,
1984-11-22,18.1,,26.9,
1984-11-23,18.1,,26.9,
1984-11-24,19.1,,27.9,
1984-11-25,19.1,,28.0,
1984-11-26,19.3,,28.1,
1984-11-27,20.3,,29.0,
1984-11-28,21.6,,30.2,
1984-11-29,22.3,,31.0,
1984-11-30,23.3,,32.0,
1984-12-01,24.5,,33.0,
1984-12-02,24.6,,33.1,
1984-12-03,25.3,,33.8,
1984-12-04,25.3,,33.8,
1984-12-05,25.3,,33.9,
1984-12-06,25.3,,33.9,
1984-12-07,25.7,,34.2,
1984-12-08,26.0,,34.5,
1984-12-09,26.4,,34.9,
1984-12-10,26.4,,34.9,
1984-12-11,27.3,,35.8,
1984-12-12,29.0,,37.5,
1984-12-13,29.8,,38.3,
1984-12-14,30.7,,39.1,31.6
1984-12-15,32.2,,40.6,
1984-12-16,32.4,,40.8,
1984-12-17,32.8,,41.2,
1984-12-18,33.0,,41.4,
1984-12-19,33.3,,41.7,
1984-12-20,33.3,,41.7,
1984-12-21,34.5,,42.9,
1984-12-22,36.6,,45.0,
1984-12-23,37.3,,45.7,
1984-12-24,38.3,,46.7,
1984-12-25,38.5,,46.9,
1984-12-26,38.5,,46.9,
1984-12-27,39.7,,48.1,
1984-12-28,40.4,,48.8,
1984-12-29,41.9,,50.3,
1984-12-30,44.1,,52.5,
1984-12-31,44.1,,52.5,
1985-01-01,44.1,,52.5,
1985-01-02,44.1,,52.5,
1985-01-03,44.1,,52.5,
1985-01-04,44.1,,52.5,
1985-01-05,44.1,,52.5,
1985-01-06,44.4,,52.8,
1985-01-07,44.4,,52.8,
1985-01-08,44.4,,52.8,
1985-01-09,44.4,,52.8,
1985-01-10,44.4,,52.8,
1985-01-11,44.4,,52.8,
1985-01-12,44.5,,52.9,
1985-01-13,44.5,,52.9,
1985-01-14,44.5,,52.9,
1985-01-15,44.7,,53.4,
1985-01-16,44.7,,53.4,
