#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 1984-10-31 to 2025-11-25
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 679: Paradise, WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Observed    Value       None           Instantaneous - Start of Day  N/A        Degrees fahrenheit  N/A           TOBS          Instantaneously observed air temperature                                                           
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Paradise (679) 
# Washington  SNOTEL Site - 5150 ft
# Reporting Frequency: Daily; Date Range: 1984-10-31 to 2025-11-25
#
# As of: Nov 25, 2025, 2:29:36 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Snow Depth (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Observed (degF) Start of Day Values
1984-10-31,6.2,,12.6,13.6
1984-11-01,6.2,,12.8,27.0
1984-11-02,7.5,,13.7,
1984-11-03,10.2,,15.7,28.8
1984-11-04,13.5,,18.6,
1984-11-05,13.8,,19.0,30.4
1984-11-06,13.8,,19.0,32.7
1984-11-07,14.4,,19.8,
1984-11-08,14.7,,20.3,28.6
1984-11-09,15.6,,21.1,26.2
1984-11-10,16.3,,21.6,32.0
1984-11-11,17.1,,22.5,32.5
1984-11-12,17.8,,23.0,32.5
1984-11-13,18.1,,23.3,
1984-11-14,19.0,,24.3,22.6
1984-11-15,18.8,,24.6,29.5
1984-11-16,18.8,,24.6,26.4
1984-11-17,18.8,,24.6,35.4
1984-11-18,19.0,,24.8,31.5
1984-11-19,19.3,,25.3,
1984-11-20,20.1,,26.1,27.5
1984-11-21,20.5,,26.4,20.7
1984-11-22,20.6,,26.5,24.1
1984-11-23,20.5,,26.6,37.4
1984-11-24,21.6,,27.5,16.7
1984-11-25,21.6,,27.5,21.0
1984-11-26,21.8,,27.9,17.6
1984-11-27,22.8,,28.6,23.0
1984-11-28,24.3,,30.0,
1984-11-29,25.1,,31.1,24.1
1984-11-30,26.3,,32.0,
1984-12-01,27.5,,32.9,20.7
1984-12-02,27.6,,32.9,16.7
1984-12-03,28.4,,33.0,16.0
1984-12-04,28.5,,33.0,31.3
1984-12-05,28.5,,33.0,29.5
1984-12-06,28.5,,33.0,32.9
1984-12-07,28.8,,33.2,
1984-12-08,29.1,,33.5,33.3
1984-12-09,29.5,,34.3,12.7
1984-12-10,29.5,,34.3,
1984-12-11,30.5,,34.5,17.2
1984-12-12,32.3,,36.5,23.5
1984-12-13,33.1,,37.0,
1984-12-14,34.0,,37.6,30.7
1984-12-15,35.5,,38.6,18.9
1984-12-16,35.7,,38.9,16.0
1984-12-17,36.1,,38.9,19.0
1984-12-18,36.3,,39.2,7.3
1984-12-19,36.6,,39.2,16.9
1984-12-20,36.6,,39.4,19.0
1984-12-21,37.9,,40.7,23.5
1984-12-22,39.4,,42.2,28.8
1984-12-23,39.9,,42.7,
1984-12-24,40.5,,43.3,19.9
1984-12-25,40.7,,43.5,31.8
1984-12-26,40.7,,43.5,23.7
1984-12-27,41.7,,44.5,21.4
1984-12-28,42.4,,45.2,16.7
1984-12-29,43.4,,46.2,22.3
1984-12-30,45.6,,48.4,25.0
1984-12-31,45.6,,48.4,16.5
1985-01-01,45.6,,48.4,25.7
1985-01-02,45.6,,48.4,36.7
1985-01-03,45.6,,48.4,34.9
1985-01-04,45.6,,48.4,37.9
1985-01-05,45.6,,48.4,32.0
1985-01-06,45.9,,48.7,33.4
