#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 1984-10-31 to 2025-11-25
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 791: Stevens Pass, WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Observed    Value       None           Instantaneous - Start of Day  N/A        Degrees fahrenheit  N/A           TOBS          Instantaneously observed air temperature                                                           
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Stevens Pass (791) 
# Washington  SNOTEL Site - 3940 ft
# Reporting Frequency: Daily; Date Range: 1984-10-31 to 2025-11-25
#
# As of: Nov 25, 2025, 2:29:33 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Snow Depth (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Observed (degF) Start of Day Values
1984-10-31,2.2,,11.7,15.4
1984-11-01,2.5,,11.8,13.3
1984-11-02,4.1,,13.3,20.7
1984-11-03,5.4,,14.3,32.2
1984-11-04,7.6,,16.8,31.3
1984-11-05,8.1,,18.0,25.3
1984-11-06,8.1,,18.0,32.0
1984-11-07,8.5,,18.6,30.6
1984-11-08,8.5,,18.8,31.8
1984-11-09,8.7,,19.0,27.3
1984-11-10,9.4,,19.3,29.1
1984-11-11,10.3,,20.6,32.0
1984-11-12,10.3,,20.6,32.7
1984-11-13,10.3,,20.6,33.1
1984-11-14,11.7,,21.8,25.2
1984-11-15,11.7,,21.8,22.1
1984-11-16,11.7,,21.8,24.3
1984-11-17,11.7,,21.8,25.9
1984-11-18,12.1,,22.1,29.7
1984-11-19,12.6,,22.8,31.1
1984-11-20,13.0,,23.3,30.4
1984-11-21,13.4,,23.6,28.0
1984-11-22,13.4,,24.3,23.7
1984-11-23,13.4,,24.3,25.2
1984-11-24,13.9,,24.8,21.9
1984-11-25,14.3,,24.8,21.7
1984-11-26,14.4,,24.8,22.6
1984-11-27,15.6,,25.8,22.6
1984-11-28,16.5,,26.8,28.2
1984-11-29,17.8,,28.3,26.2
1984-11-30,18.3,,28.6,26.4
1984-12-01,18.6,,29.2,21.4
1984-12-02,18.6,,29.7,12.7
1984-12-03,19.1,,29.7,12.6
1984-12-04,19.1,,29.7,11.8
1984-12-05,19.1,,29.7,13.8
1984-12-06,19.3,,29.7,13.5
1984-12-07,19.3,,29.7,31.8
1984-12-08,20.0,,30.4,32.0
1984-12-09,20.5,,30.9,15.1
1984-12-10,21.3,,31.7,24.1
1984-12-11,21.3,,31.8,20.8
1984-12-12,21.8,,32.1,16.3
1984-12-13,22.3,,32.6,25.9
1984-12-14,22.3,,32.7,31.8
1984-12-15,24.1,,34.5,21.0
1984-12-16,24.6,,34.9,22.8
1984-12-17,25.0,,35.3,13.6
1984-12-18,25.3,,35.7,-0.4
1984-12-19,25.3,,35.7,3.6
1984-12-20,25.3,,35.7,6.4
1984-12-21,25.9,,36.2,24.6
1984-12-22,26.8,,37.1,32.0
1984-12-23,29.1,,37.4,30.2
1984-12-24,29.1,,37.4,24.6
1984-12-25,29.1,,37.4,29.8
1984-12-26,29.5,,39.8,27.7
1984-12-27,30.4,,40.7,22.1
1984-12-28,30.8,,41.1,19.9
1984-12-29,32.2,,42.5,24.8
1984-12-30,34.1,,44.4,18.0
1984-12-31,34.2,,44.6,17.6
1985-01-01,34.4,,44.7,18.9
1985-01-02,34.4,,44.7,19.8
1985-01-03,34.4,,44.7,13.1
1985-01-04,34.4,,44.7,17.1
1985-01-05,34.4,,44.7,26.6
