#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 1984-10-31 to 2025-11-25
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 909: Wells Creek, WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Observed    Value       None           Instantaneous - Start of Day  N/A        Degrees fahrenheit  N/A           TOBS          Instantaneously observed air temperature                                                           
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Wells Creek (909) 
# Washington  SNOTEL Site - 4030 ft
# Reporting Frequency: Daily; Date Range: 1984-10-31 to 2025-11-25
#
# As of: Nov 25, 2025, 2:29:37 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Snow Depth (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Observed (degF) Start of Day Values
1995-08-24,,,,39.6
1995-08-25,,,,40.6
1995-08-26,,,,49.5
1995-08-27,,,,41.9
1995-08-28,,,,44.1
1995-08-29,,,,45.5
1995-08-30,,,,42.4
1995-08-31,,,,47.7
1995-09-01,,,,55.2
1995-09-02,,,,57.7
1995-09-03,0.0,,,61.9
1995-09-04,0.0,,,53.2
1995-09-05,0.0,,,45.7
1995-09-06,0.0,,,43.7
1995-09-07,0.0,,,47.1
1995-09-08,0.0,,,48.7
1995-09-09,0.0,,,55.8
1995-09-10,0.0,,,54.5
1995-09-11,0.0,,,52.0
1995-09-12,0.0,,,50.0
1995-09-13,0.0,,,54.3
1995-09-14,0.0,,,61.7
1995-09-15,0.0,,,58.6
1995-09-16,0.0,,,58.6
1995-09-17,0.0,,,53.2
1995-09-18,0.0,,,47.1
1995-09-19,0.0,,,48.9
1995-09-20,0.0,,,46.8
1995-09-21,0.0,,,
1995-09-22,0.0,,,55.8
1995-09-23,0.0,,,57.7
1995-09-24,0.0,,,55.6
1995-09-25,0.0,,,50.7
1995-09-26,0.0,,,45.0
1995-09-27,0.0,,,44.2
1995-09-28,0.0,,,43.2
1995-09-29,0.0,,,38.8
1995-09-30,0.0,,,41.5
1995-10-01,0.0,,0.0,38.5
1995-10-02,0.0,,0.1,38.1
1995-10-03,0.0,,1.5,39.4
1995-10-04,0.0,,2.7,33.6
1995-10-05,0.0,,3.0,37.6
1995-10-06,0.0,,3.1,39.7
1995-10-07,0.0,,3.5,37.2
1995-10-08,0.0,,3.7,38.8
1995-10-09,0.0,,4.0,36.1
1995-10-10,0.0,,4.4,38.8
1995-10-11,0.0,,6.6,34.3
1995-10-12,0.0,,7.0,32.2
1995-10-13,0.0,,7.3,31.5
1995-10-14,0.0,,7.7,41.9
1995-10-15,0.0,,7.9,47.1
1995-10-16,0.0,,8.4,41.2
1995-10-17,0.0,,8.6,36.5
1995-10-18,0.0,,9.2,35.1
1995-10-19,0.0,,9.2,34.3
1995-10-20,0.0,,9.6,41.2
1995-10-21,0.0,,9.6,32.5
1995-10-22,0.0,,9.6,30.2
1995-10-23,0.0,,9.8,34.2
1995-10-24,0.0,,9.8,32.0
1995-10-25,0.0,,9.9,33.1
1995-10-26,0.0,,10.4,35.8
1995-10-27,0.0,,10.7,30.9
1995-10-28,0.0,,10.7,26.4
1995-10-29,0.0,,10.7,28.6
1995-10-30,0.0,,10.7,27.3
1995-10-31,0.0,,10.7,29.7
1995-11-01,0.0,,10.9,25.5
1995-11-02,0.2,,11.3,30.6
1995-11-03,0.2,,11.3,34.5
1995-11-04,0.3,,11.5,36.7
1995-11-05,0.6,,11.9,27.9
1995-11-06,1.5,,12.8,26.2
1995-11-07,1.5,,13.0,27.9
1995-11-08,2.0,,16.3,41.5
1995-11-09,1.4,,18.0,26.8
1995-11-10,1.6,,18.2,25.0
1995-11-11,2.3,,19.8,41.5
1995-11-12,2.1,,21.2,31.3
1995-11-13,2.1,,21.2,31.8
1995-11-14,2.0,,21.8,43.9
1995-11-15,1.6,,22.2,47.7
1995-11-16,1.3,,22.6,36.7
1995-11-17,1.2,,22.9,40.3
1995-11-18,0.4,,24.8,42.3
1995-11-19,0.2,,25.0,32.0
1995-11-20,0.3,,25.1,41.0
1995-11-21,0.0,,25.3,46.0
1995-11-22,0.0,,25.3,40.3
1995-11-23,0.0,,25.4,42.8
1995-11-24,0.0,,26.7,38.5
1995-11-25,0.0,,27.5,36.3
1995-11-26,0.5,,27.7,30.9
1995-11-27,1.4,,28.8,29.7
1995-11-28,1.8,,29.3,33.1
1995-11-29,1.3,,33.0,41.9
1995-11-30,0.6,,35.6,32.0
1995-12-01,0.9,,35.9,31.5
1995-12-02,1.3,,36.3,27.5
1995-12-03,2.1,,37.1,23.2
1995-12-04,2.7,,37.7,27.9
1995-12-05,3.0,,38.1,16.7
1995-12-06,3.1,,38.3,18.7
1995-12-07,3.1,,38.4,21.4
1995-12-08,3.1,,38.4,9.9
1995-12-09,3.1,,38.4,22.3
1995-12-10,3.8,,39.4,39.6
1995-12-11,3.5,,40.4,34.7
1995-12-12,3.3,,41.5,34.7
1995-12-13,3.4,,43.2,32.4
1995-12-14,3.5,,43.8,29.8
1995-12-15,4.5,,44.8,28.8
1995-12-16,4.7,,45.2,29.3
1995-12-17,4.9,,45.4,29.7
1995-12-18,5.1,,45.8,33.1
1995-12-19,5.1,,46.2,31.8
1995-12-20,5.1,,46.2,30.2
1995-12-21,5.1,,46.2,28.9
1995-12-22,5.1,,46.2,30.2
1995-12-23,5.1,,46.2,31.1
1995-12-24,5.2,,46.3,40.1
1995-12-25,5.2,,46.3,36.5
1995-12-26,5.2,,46.3,34.9
1995-12-27,5.3,,46.4,37.6
1995-12-28,5.3,,46.4,33.4
1995-12-29,5.7,,46.8,32.0
1995-12-30,5.9,,47.3,32.9
1995-12-31,6.2,,47.9,31.5
1996-01-01,6.2,,48.2,31.5
1996-01-02,6.3,,48.4,35.6
1996-01-03,6.4,,49.3,31.5
1996-01-04,7.0,,50.0,25.3
1996-01-05,7.2,,50.3,22.8
1996-01-06,7.4,,50.7,31.1
1996-01-07,7.4,,51.2,37.4
1996-01-08,7.5,,51.7,33.4
1996-01-09,7.3,,51.7,35.2
1996-01-10,7.5,,52.0,30.6
1996-01-11,7.6,,52.2,30.6
1996-01-12,7.6,,52.2,39.7
1996-01-13,7.4,,52.3,36.0
1996-01-14,8.5,,53.5,31.3
1996-01-15,8.8,,54.2,35.2
1996-01-16,9.1,,55.0,28.2
1996-01-17,9.3,,55.2,
1996-01-18,9.5,,55.4,18.0
1996-01-19,9.5,,55.4,22.8
1996-01-20,9.5,,55.4,19.0
1996-01-21,9.6,,55.5,24.8
1996-01-22,10.0,,56.0,21.7
1996-01-23,10.1,,56.1,21.9
1996-01-24,10.5,,56.5,21.9
1996-01-25,10.6,,56.6,18.5
1996-01-26,10.9,,56.9,15.6
1996-01-27,11.1,,57.1,16.5
1996-01-28,11.2,,57.2,10.0
1996-01-29,11.4,,57.4,4.3
1996-01-30,11.4,,57.6,2.7
1996-01-31,11.4,,57.6,14.2
1996-02-01,11.4,,57.6,20.5
1996-02-02,11.4,,57.6,12.9
1996-02-03,11.4,,57.6,26.6
1996-02-04,11.4,,57.6,31.6
1996-02-05,11.4,,57.8,39.6
1996-02-06,11.7,,59.1,32.9
1996-02-07,12.7,,60.7,37.6
1996-02-08,12.7,,61.3,34.9
1996-02-09,12.7,,62.9,32.4
1996-02-10,12.8,,63.0,23.5
1996-02-11,12.8,,63.3,43.2
1996-02-12,12.8,,63.3,42.8
1996-02-13,12.8,,63.3,49.3
1996-02-14,12.8,,63.3,44.2
1996-02-15,12.8,,63.3,47.3
1996-02-16,12.8,,63.3,47.5
1996-02-17,12.8,,63.4,40.6
1996-02-18,12.8,,64.0,36.1
1996-02-19,13.0,,64.2,31.6
1996-02-20,13.3,,64.5,29.7
1996-02-21,13.2,,65.6,26.1
1996-02-22,13.5,,65.8,23.0
1996-02-23,14.1,,66.4,22.3
1996-02-24,14.1,,66.4,19.0
1996-02-25,14.5,,66.7,17.6
1996-02-26,14.5,,66.7,12.2
1996-02-27,14.6,,66.8,14.4
1996-02-28,14.6,,66.8,10.2
1996-02-29,14.6,,66.8,20.7
1996-03-01,14.6,,66.8,28.9
1996-03-02,14.6,,66.8,28.2
1996-03-03,14.4,,66.8,28.4
1996-03-04,14.9,,67.3,29.8
1996-03-05,14.5,,68.1,26.4
1996-03-06,13.9,,68.1,25.2
1996-03-07,13.9,,68.1,28.2
1996-03-08,13.8,,68.3,36.7
1996-03-09,13.7,,68.6,41.0
1996-03-10,13.7,,69.1,38.5
1996-03-11,13.6,,69.2,37.6
1996-03-12,13.8,,69.4,30.6
1996-03-13,13.8,,69.4,27.7
1996-03-14,13.9,,69.5,36.0
1996-03-15,15.4,,70.0,34.5
1996-03-16,15.6,,70.2,25.9
1996-03-17,15.8,,70.4,27.9
1996-03-18,16.1,,70.6,29.1
1996-03-19,15.8,,70.6,40.3
1996-03-20,15.8,,70.6,28.4
1996-03-21,15.8,,70.6,28.0
1996-03-22,16.0,,70.8,29.7
1996-03-23,16.0,,70.8,27.3
1996-03-24,16.0,,70.8,16.5
1996-03-25,16.0,,70.8,20.5
1996-03-26,16.3,,71.1,24.6
1996-03-27,16.0,,71.1,25.3
1996-03-28,15.9,,71.1,24.8
1996-03-29,15.8,,71.2,24.8
1996-03-30,16.1,,71.5,23.5
1996-03-31,16.2,,71.6,25.2
1996-04-01,16.0,,72.1,31.6
1996-04-02,15.8,,72.9,26.8
1996-04-03,15.0,,72.9,21.7
1996-04-04,15.0,,72.9,31.3
1996-04-05,14.5,,73.1,43.5
1996-04-06,13.9,,73.2,40.8
1996-04-07,13.3,,73.7,42.8
1996-04-08,12.5,,73.7,47.1
1996-04-09,12.0,,73.8,44.8
1996-04-10,11.8,,73.9,36.7
1996-04-11,11.8,,74.2,32.7
1996-04-12,12.5,,74.5,30.4
1996-04-13,12.5,,74.8,28.6
1996-04-14,12.4,,75.0,34.3
1996-04-15,12.3,,75.1,45.0
1996-04-16,12.0,,75.2,39.2
1996-04-17,11.5,,75.4,31.1
1996-04-18,11.4,,75.6,29.1
1996-04-19,11.3,,75.7,29.1
1996-04-20,11.4,,75.9,30.7
1996-04-21,11.2,,75.9,30.0
1996-04-22,10.9,,75.9,36.0
1996-04-23,10.8,,76.6,32.9
1996-04-24,10.5,,78.1,31.8
1996-04-25,10.5,,78.6,30.7
1996-04-26,10.9,,79.0,28.6
1996-04-27,11.7,,80.0,28.4
1996-04-28,11.7,,80.2,26.8
1996-04-29,11.6,,80.2,31.6
1996-04-30,11.4,,80.2,32.0
1996-05-01,11.5,,80.4,28.6
1996-05-02,11.8,,80.8,27.3
1996-05-03,11.8,,80.9,26.8
